Word,POS,Pronunciation,Meaning
abandon,v,ə'bændən,"bỏ, từ bỏ"
abandoned,adj,ə'bændənd,"bị bỏ rơi, bị ruồng bỏ"
ability,n,ə'biliti,"khả năng, năng lực"
able,adj,eibl,"có năng lực, có tài"
above,"prep, adv",ə'bʌv,"ở trên, lên trên"
abroad,adv,ə'brɔ:d,"ở, ra nước ngoài, ngoài trời"
absence,n,æbsəns,sự vắng mặt
absent,adj,æbsənt,"vắng mặt, nghỉ"
absolute,adj,æbsəlu:t,"tuyệt đối, hoàn toàn"
absolutely,adv,æbsəlu:tli,"tuyệt đối, hoàn toàn"
absorb,v,əb'sɔ:b,"thu hút, hấp thu, lôi cuốn"
abuse,"n, v",ə'bju:s,"lộng hành, lạm dụng"
academic,adj,",ækə'demik","thuộc học viện, ĐH, viện hàn lâm"
accent,n,æksənt,"trọng âm, dấu trọng âm"
accept,v,ək'sept,"chấp nhận, chấp thuận"
acceptable,adj,ək'septəbl,"có thể chấp nhận, chấp thuận"
access,n,ækses,"lối, cửa, đường vào"
accident,n,æksidənt,"tai nạn, rủi ro"
accidental,adj,",æksi'dentl","tình cờ, bất ngờ"
accidentally,adv,",æksi'dentəli","tình cờ, ngẫu nhiên"
accommodation,n,"ə,kɔmə'deiʃn","sự thích nghi, sự điều tiết, sự làm cho phù hợp"
accompany,v,ə'kʌmpəni,"đi theo, đi cùng, kèm theo"
according to,prep,ə'kɔ:diɳ,"theo, y theo"
account,"n, v",ə'kaunt,"tài khoản, kế toán"
accurate,adj,ækjurit,"đúng đắn, chính xác, xác đáng"
accurately,adv,ækjuritli,"đúng đắn, chính xác"
accuse,v,ə'kju:z,"tố cáo, buộc tội, kết tội"
achieve,v,ə'tʃi:v,"đạt được, dành được"
achievement,n,ə'tʃi:vmənt,"thành tích, thành tựu"
acid,n,æsid,axit
acknowledge,v,ək'nɔlidʤ,"công nhận, thừa nhận"
acquire,v,ə'kwaiə,"dành được, đạt được, kiếm được"
across,"adv, prep",ə'krɔs,"qua, ngang qua"
act,"n, v",ækt,"hành động, hành vi, cử chỉ, đối xử"
action,n,ækʃn,"hành động, hành vi, tác động"
active,adj,æktiv,"tích cực hoạt động, nhanh nhẹn"
actively,adv,æktivli,tích cực hoạt động
activity,n,æk'tiviti,"sự tích cực, sự hoạt động, sự nhanh nhẹn, sự linh lợi"
actor,n,æktə,diễn viên nam
actress,n,æktris,diễn viên nữ
actual,adj,æktjuəl,"thực tế, có thật"
actually,adv,æktjuəli,"hiện nay, hiện tại"
adapt,v,ə'dæpt,"tra, lắp vào"
add,v,æd,"cộng, thêm vào"
