id,Word,POS,Pronunciation,Meaning,Syllables,Root_Word,Count
1,abandon,v,ə'bændən,"bỏ, từ bỏ",3,abandon,7
2,abandoned,adj,ə'bændənd,"bị bỏ rơi, bị ruồng bỏ",3,abandon,9
3,ability,n,ə'biliti,"khả năng, năng lực",4,ability,7
4,able,adj,eibl,"có năng lực, có tài",3,able,4
5,above,"prep, adv",ə'bʌv,"ở trên, lên trên",2,above,5
6,abroad,adv,ə'brɔ:d,"ở, ra nước ngoài, ngoài trời",2,abroad,6
7,absence,n,æbsəns,sự vắng mặt,2,absence,7
8,absent,adj,æbsənt,"vắng mặt, nghỉ",2,absent,6
9,absolute,adj,æbsəlu:t,"tuyệt đối, hoàn toàn",3,absolute,8
10,absolutely,adv,æbsəlu:tli,"tuyệt đối, hoàn toàn",4,absolutely,10
11,absorb,v,əb'sɔ:b,"thu hút, hấp thu, lôi cuốn",2,absorb,6
12,abuse,"n, v",ə'bju:s,"lộng hành, lạm dụng",2,abuse,5
13,academic,adj,",ækə'demik","thuộc học viện, ĐH, viện hàn lâm",4,academic,8
14,accent,n,æksənt,"trọng âm, dấu trọng âm",2,accent,6
15,accept,v,ək'sept,"chấp nhận, chấp thuận",2,accept,6
16,acceptable,adj,ək'septəbl,"có thể chấp nhận, chấp thuận",4,acceptable,10
17,access,n,ækses,"lối, cửa, đường vào",2,access,6
18,accident,n,æksidənt,"tai nạn, rủi ro",3,accident,8
19,accidental,adj,",æksi'dentl","tình cờ, bất ngờ",4,accidental,10
20,accidentally,adv,",æksi'dentəli","tình cờ, ngẫu nhiên",5,accidentally,12
21,accommodation,n,"ə,kɔmə'deiʃn","sự thích nghi, sự điều tiết, sự làm cho phù hợp",6,accommodation,13
22,accompany,v,ə'kʌmpəni,"đi theo, đi cùng, kèm theo",4,accompany,9
23,account,n,ə'kaunt,"tài khoản, kế toán",2,account,7
24,account,v,ə'kaunt,"tính toán, tính đến",2,account,7
25,accurate,adj,ækjurit,"đúng đắn, chính xác, xác đáng",3,accurate,8
26,accurately,adv,ækjuritli,"đúng đắn, chính xác",4,accurately,10
27,accuse,v,ə'kju:z,"tố cáo, buộc tội, kết tội",2,accuse,6
28,achieve,v,ə'tʃi:v,"đạt được, dành được",2,achieve,7
29,achievement,n,ə'tʃi:vmənt,"thành tích, thành tựu",3,achievement,11
30,acid,n,æsid,axit,2,acid,4
31,acknowledge,v,ək'nɔlidʤ,"công nhận, thừa nhận",3,acknowledge,11
32,acquire,v,ə'kwaiə,"dành được, đạt được, kiếm được",3,acquire,7
33,across,"adv, prep",ə'krɔs,"qua, ngang qua",2,across,6
34,act,"n, v",ækt,"hành động, hành vi, cử chỉ, đối xử",1,act,3
35,action,n,ækʃn,"hành động, hành vi, tác động",2,action,6
